Year,State,Yes,No,lat,long,code
2001,Washington,90.3,9.7,47.52227862900048,-120.47001078999972,WA
1995,Hawaii,94.3,5.7,21.304850435000446,-157.85774940299973,HI
2010,North Dakota,88.9,11.1,47.47531977900047,-100.11842104899966,ND
2007,Kentucky,84.1,15.9,37.64597027100047,-84.77497104799966,KY
2003,Kentucky,82.9,17.1,37.64597027100047,-84.77497104799966,KY
2001,Nevada,82.5,17.5,39.493240390000494,-117.07184056399969,NV
2005,Illinois,85.5,14.5,40.48501028300046,-88.99771017799969,IL
2000,Missouri,88.8,11.2,38.63579077600048,-92.56630005299968,MO
2008,Maine,88.7,11.3,45.254228894000505,-68.98503133599962,ME
2001,Alabama,85.0,15.0,32.84057112200048,-86.63186076199969,AL
1997,Louisiana,79.6,20.4,31.31266064400046,-92.44568007099969,LA
1995,Arkansas,84.6,15.4,34.74865012400045,-92.27449074299966,AR
2010,New Jersey,88.5,11.5,40.13057004800049,-74.27369128799967,NJ
2001,South Carolina,83.6,16.4,33.998821303000454,-81.04537120699968,SC
2003,Nevada,79.5,20.5,39.493240390000494,-117.07184056399969,NV
1996,Missouri,87.1,12.9,38.63579077600048,-92.56630005299968,MO
1996,Oklahoma,81.5,18.5,35.47203135600046,-97.52107021399968,OK
2003,Hawaii,91.8,8.2,21.304850435000446,-157.85774940299973,HI
1998,Kansas,89.2,10.8,38.34774030000045,-98.20078122699964,KS
1998,Florida,82.4,17.6,28.93204037700048,-81.92896053899966,FL
1996,South Carolina,83.7,16.3,33.998821303000454,-81.04537120699968,SC
1998,North Dakota,89.7,10.3,47.47531977900047,-100.11842104899966,ND
2010,Illinois,86.9,13.1,40.48501028300046,-88.99771017799969,IL
1996,Wisconsin,90.7,9.3,44.39319117400049,-89.81637074199966,WI
2008,Utah,85.4,14.6,39.36070017100048,-111.58713063499972,UT
1995,South Dakota,91.0,9.0,44.35313005300048,-100.3735306369997,SD
2009,Montana,82.5,17.5,47.06652897200047,-109.42442064499971,MT
1997,Colorado,88.1,11.9,38.843840757000464,-106.13361092099969,CO
1995,Illinois,88.8,11.2,40.48501028300046,-88.99771017799969,IL
2005,Massachusetts,89.7,10.3,42.27687047000046,-72.08269067499964,MA
1999,California,80.7,19.3,37.63864012300047,-120.99999953799971,CA
2008,Montana,82.7,17.3,47.06652897200047,-109.42442064499971,MT
2000,South Carolina,85.5,14.5,33.998821303000454,-81.04537120699968,SC
2007,Texas,74.3,25.7,31.827240407000488,-99.42677020599967,TX
2001,Virginia,89.1,10.9,37.54268067400045,-78.45789046299967,VA
2007,Indiana,85.8,14.2,39.766910452000445,-86.14996019399968,IN
1995,Kansas,88.9,11.1,38.34774030000045,-98.20078122699964,KS
2009,New Hampshire,88.9,11.1,43.65595011300047,-71.50036091999965,NH
2006,Illinois,84.9,15.1,40.48501028300046,-88.99771017799969,IL
2001,Hawaii,92.7,7.3,21.304850435000446,-157.85774940299973,HI
2004,New Jersey,85.6,14.4,40.13057004800049,-74.27369128799967,NJ
2002,Florida,82.0,18.0,28.93204037700048,-81.92896053899966,FL
2001,New York,83.7,16.3,42.82700103200045,-75.54397042699964,NY
2003,South Dakota,88.3,11.7,44.35313005300048,-100.3735306369997,SD
2001,Oklahoma,79.2,20.8,35.47203135600046,-97.52107021399968,OK
2008,New Jersey,86.2,13.8,40.13057004800049,-74.27369128799967,NJ
2000,New York,86.9,13.1,42.82700103200045,-75.54397042699964,NY
2001,Wyoming,83.3,16.7,43.23554134300048,-108.10983035299968,WY
1996,Massachusetts,89.8,10.2,42.27687047000046,-72.08269067499964,MA
2008,Virginia,89.5,10.5,37.54268067400045,-78.45789046299967,VA
2007,Ohio,88.2,11.8,40.06021014100048,-82.40426005599966,OH
2010,Louisiana,79.2,20.8,31.31266064400046,-92.44568007099969,LA
2002,New Mexico,78.7,21.3,34.52088095200048,-106.24058098499968,NM
1995,Iowa,90.8,9.2,42.46940091300047,-93.81649055599968,IA
2005,Michigan,87.4,12.6,44.6613195430005,-84.71439026999968,MI
2007,Vermont,88.8,11.2,43.62538123900049,-72.51764079099962,VT
2009,Indiana,82.9,17.1,39.766910452000445,-86.14996019399968,IN
1997,California,80.7,19.3,37.63864012300047,-120.99999953799971,CA
2000,Iowa,91.1,8.9,42.46940091300047,-93.81649055599968,IA
1998,Pennsylvania,89.2,10.8,40.79373015200048,-77.86070029399963,PA
2007,Wisconsin,90.2,9.8,44.39319117400049,-89.81637074199966,WI
1999,Virginia,90.0,10.0,37.54268067400045,-78.45789046299967,VA
1996,Maine,85.8,14.2,45.254228894000505,-68.98503133599962,ME
2003,North Dakota,88.5,11.5,47.47531977900047,-100.11842104899966,ND
2006,Virginia,89.7,10.3,37.54268067400045,-78.45789046299967,VA
2008,Pennsylvania,88.5,11.5,40.79373015200048,-77.86070029399963,PA
2000,Arizona,82.9,17.1,34.865970280000454,-111.76381127699972,AZ
1999,Massachusetts,92.8,7.2,42.27687047000046,-72.08269067499964,MA
2004,District of Columbia,89.0,11.0,38.89037138500049,-77.03196112699965,DC
2002,Vermont,88.4,11.6,43.62538123900049,-72.51764079099962,VT
2009,Kentucky,84.4,15.6,37.64597027100047,-84.77497104799966,KY
2001,Montana,83.1,16.9,47.06652897200047,-109.42442064499971,MT
2004,Mississippi,79.8,20.2,32.745510099000455,-89.53803082499968,MS
2002,Pennsylvania,89.6,10.4,40.79373015200048,-77.86070029399963,PA
2000,Indiana,89.6,10.4,39.766910452000445,-86.14996019399968,IN
2007,Oklahoma,79.9,20.1,35.47203135600046,-97.52107021399968,OK
1999,Maine,86.8,13.2,45.254228894000505,-68.98503133599962,ME
2001,Minnesota,94.5,5.5,46.35564873600049,-94.79420050299969,MN
2003,Kansas,86.9,13.1,38.34774030000045,-98.20078122699964,KS
2006,California,82.5,17.5,37.63864012300047,-120.99999953799971,CA
1998,Texas,76.4,23.6,31.827240407000488,-99.42677020599967,TX
1999,Mississippi,82.9,17.1,32.745510099000455,-89.53803082499968,MS
2005,Iowa,89.3,10.7,42.46940091300047,-93.81649055599968,IA
1999,New Hampshire,88.9,11.1,43.65595011300047,-71.50036091999965,NH
2000,Nevada,86.4,13.6,39.493240390000494,-117.07184056399969,NV
2008,Idaho,81.5,18.5,43.68263000500048,-114.3637300419997,ID
2010,Minnesota,91.0,9.0,46.35564873600049,-94.79420050299969,MN
2004,Nebraska,87.3,12.7,41.6410409880005,-99.36572062299967,NE
2003,Rhode Island,89.0,11.0,41.70828019300046,-71.52247031399963,RI
2002,Connecticut,89.1,10.9,41.56266102000046,-72.64984095199964,CT
1998,Nevada,83.8,16.2,39.493240390000494,-117.07184056399969,NV
1997,Illinois,88.7,11.3,40.48501028300046,-88.99771017799969,IL
1996,Idaho,85.0,15.0,43.68263000500048,-114.3637300419997,ID
2008,Hawaii,93.7,6.3,21.304850435000446,-157.85774940299973,HI
2007,Utah,84.7,15.3,39.36070017100048,-111.58713063499972,UT
2008,South Dakota,87.7,12.3,44.35313005300048,-100.3735306369997,SD
2005,Kansas,86.8,13.2,38.34774030000045,-98.20078122699964,KS
2007,Hawaii,94.0,6.0,21.304850435000446,-157.85774940299973,HI
1996,California,80.5,19.5,37.63864012300047,-120.99999953799971,CA
2010,Delaware,90.0,10.0,39.008830667000495,-75.57774116799965,DE
2004,Pennsylvania,88.0,12.0,40.79373015200048,-77.86070029399963,PA
2002,Minnesota,93.2,6.8,46.35564873600049,-94.79420050299969,MN
1999,Colorado,86.1,13.9,38.843840757000464,-106.13361092099969,CO
2002,Oregon,82.6,17.4,44.56744942400047,-120.15503132599969,OR
2010,New York,88.6,11.4,42.82700103200045,-75.54397042699964,NY
2003,Arizona,83.3,16.7,34.865970280000454,-111.76381127699972,AZ
2002,Illinois,85.9,14.1,40.48501028300046,-88.99771017799969,IL
1997,Oklahoma,83.0,17.0,35.47203135600046,-97.52107021399968,OK
2007,West Virginia,83.1,16.9,38.66551020200046,-80.71264013499967,WV
2000,Maine,86.4,13.6,45.254228894000505,-68.98503133599962,ME
1997,Florida,82.4,17.6,28.93204037700048,-81.92896053899966,FL
1999,Nebraska,91.9,8.1,41.6410409880005,-99.36572062299967,NE
1998,Hawaii,94.1,5.9,21.304850435000446,-157.85774940299973,HI
2001,Indiana,86.3,13.7,39.766910452000445,-86.14996019399968,IN
2001,Wisconsin,90.2,9.8,44.39319117400049,-89.81637074199966,WI
2003,South Carolina,81.7,18.3,33.998821303000454,-81.04537120699968,SC
1995,Massachusetts,89.5,10.5,42.27687047000046,-72.08269067499964,MA
1997,Wisconsin,90.7,9.3,44.39319117400049,-89.81637074199966,WI
2000,Hawaii,93.0,7.0,21.304850435000446,-157.85774940299973,HI
2000,Alaska,81.9,18.1,64.84507995700051,-147.7220590359997,AK
1997,New Jersey,88.3,11.7,40.13057004800049,-74.27369128799967,NJ
1997,Idaho,83.4,16.6,43.68263000500048,-114.3637300419997,ID
2007,Connecticut,90.6,9.4,41.56266102000046,-72.64984095199964,CT
2007,Louisiana,79.5,20.5,31.31266064400046,-92.44568007099969,LA
2002,Rhode Island,88.4,11.6,41.70828019300046,-71.52247031399963,RI
2006,South Dakota,86.5,13.5,44.35313005300048,-100.3735306369997,SD
1999,Ohio,90.0,10.0,40.06021014100048,-82.40426005599966,OH
2006,Utah,85.0,15.0,39.36070017100048,-111.58713063499972,UT
2004,North Dakota,86.5,13.5,47.47531977900047,-100.11842104899966,ND
2003,North Carolina,82.6,17.4,35.466220975000454,-79.15925046299964,NC
2006,Missouri,86.8,13.2,38.63579077600048,-92.56630005299968,MO
1996,Arkansas,82.1,17.9,34.74865012400045,-92.27449074299966,AR
2000,Florida,82.9,17.1,28.93204037700048,-81.92896053899966,FL
2002,Arkansas,81.1,18.9,34.74865012400045,-92.27449074299966,AR
1998,New Hampshire,88.3,11.7,43.65595011300047,-71.50036091999965,NH
2009,Ohio,87.9,12.1,40.06021014100048,-82.40426005599966,OH
2005,Mississippi,81.5,18.5,32.745510099000455,-89.53803082499968,MS
2003,Nebraska,88.4,11.6,41.6410409880005,-99.36572062299967,NE
2001,Florida,83.2,16.8,28.93204037700048,-81.92896053899966,FL
2001,Illinois,90.1,9.9,40.48501028300046,-88.99771017799969,IL
2002,Nebraska,88.1,11.9,41.6410409880005,-99.36572062299967,NE
2000,Arkansas,82.8,17.2,34.74865012400045,-92.27449074299966,AR
1995,Montana,83.7,16.3,47.06652897200047,-109.42442064499971,MT
2008,New Hampshire,89.9,10.1,43.65595011300047,-71.50036091999965,NH
2004,Montana,80.8,19.2,47.06652897200047,-109.42442064499971,MT
2004,West Virginia,81.5,18.5,38.66551020200046,-80.71264013499967,WV
2004,South Dakota,89.0,11.0,44.35313005300048,-100.3735306369997,SD
1998,District of Columbia,88.4,11.6,38.89037138500049,-77.03196112699965,DC
2007,Minnesota,91.5,8.5,46.35564873600049,-94.79420050299969,MN
2004,Maryland,88.2,11.8,39.29058096400047,-76.60926011099963,MD
1998,California,81.9,18.1,37.63864012300047,-120.99999953799971,CA
1997,New Hampshire,89.7,10.3,43.65595011300047,-71.50036091999965,NH
1995,West Virginia,84.0,16.0,38.66551020200046,-80.71264013499967,WV
2001,Iowa,91.9,8.1,42.46940091300047,-93.81649055599968,IA
2009,Nebraska,87.3,12.7,41.6410409880005,-99.36572062299967,NE
2005,Kentucky,82.4,17.6,37.64597027100047,-84.77497104799966,KY
2006,Wisconsin,90.3,9.7,44.39319117400049,-89.81637074199966,WI
2009,Michigan,86.4,13.6,44.6613195430005,-84.71439026999968,MI
2010,West Virginia,82.5,17.5,38.66551020200046,-80.71264013499967,WV
2004,Louisiana,77.2,22.8,31.31266064400046,-92.44568007099969,LA
2009,Colorado,83.3,16.7,38.843840757000464,-106.13361092099969,CO
2000,Michigan,91.5,8.5,44.6613195430005,-84.71439026999968,MI
2006,Alabama,84.0,16.0,32.84057112200048,-86.63186076199969,AL
1996,Louisiana,77.2,22.8,31.31266064400046,-92.44568007099969,LA
2010,Arizona,86.7,13.3,34.865970280000454,-111.76381127699972,AZ
2005,Wyoming,82.0,18.0,43.23554134300048,-108.10983035299968,WY
2004,Maine,87.2,12.8,45.254228894000505,-68.98503133599962,ME
